school,sex,age,address,famsize,pstatus,medu,fedu,mjob,fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,dalc,walc,health,absences,g1,g2,g3,source_file
gabriel pereira,f,15.0,u,GT3,T,4,4,teacher,health,reputation,mother,1,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,2,2,0.0,10.0,8.0,9.0,student-mat-dirty.csv
gp,f,15.0,u,GT3,T,2,1,services,other,reputation,father,3,3.0,0.0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,4.0,10.0,12.0,12.0,student-mat-dirty.csv
nan,m,15.0,u,LE3,T,4,4,health,services,course,father,1,1.0,0.0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2.0,14.0,14.0,14.0,student-mat-dirty.csv
gp,m,15.0,u,GT3,T,4,3,teacher,other,course,mother,2,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,5,4,3,1,2,3,2.0,10.0,10.0,11.0,student-mat-dirty.csv
gp,m,15.0,u,GT3,A,2,2,other,other,home,other,1,3.0,0.0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0.0,14.0,16.0,16.0,student-mat-dirty.csv
gp,f,16.0,u,GT3,T,4,4,health,other,home,mother,1,1.0,0.0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,4.0,14.0,14.0,14.0,student-mat-dirty.csv
gp,f,16.0,u,GT3,T,4,4,services,services,reputation,mother,1,3.0,0.0,no,yes,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6.0,13.0,14.0,14.0,student-mat-dirty.csv
gp,f,16.0,u,GT3,T,3,3,other,other,reputation,mother,3,2.0,0.0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,4.0,8.0,10.0,10.0,student-mat-dirty.csv
gp,m,17.0,u,GT3,T,3,2,services,services,course,mother,1,1.0,3.0,no,yes,no,yes,yes,yes,yes,no,5,5,5,2,4,5,16.0,6.0,5.0,5.0,student-mat-dirty.csv
gp,m,16.0,u,LE3,T,4,3,health,other,home,father,1,1.0,0.0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,4.0,8.0,10.0,10.0,student-mat-dirty.csv
gp,m,15.0,u,GT3,T,4,3,teacher,other,reputation,mother,1,2.0,0.0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0.0,13.0,14.0,15.0,student-mat-dirty.csv
gp,m,15.0,u,GT3,T,4,4,health,health,other,father,1,1.0,0.0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0.0,12.0,15.0,15.0,student-mat-dirty.csv
gp,m,16.0,u,LE3,T,4,2,teacher,other,course,mother,1,2.0,0.0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,2.0,15.0,15.0,16.0,student-mat-dirty.csv
gp,m,16.0,u,LE3,T,2,2,other,other,reputation,mother,2,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0.0,13.0,13.0,12.0,student-mat-dirty.csv
gp,f,15.0,r,GT3,T,2,4,services,health,course,mother,1,3.0,0.0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2.0,10.0,9.0,8.0,student-mat-dirty.csv
gp,f,16.0,urban,GT3,T,2,2,services,services,home,mother,1,1.0,2.0,no,yes,yes,no,no,yes,yes,no,1,2,2,1,3,5,14.0,6.0,9.0,8.0,student-mat-dirty.csv
gp,m,15.0,u,GT3,T,2,2,other,other,home,mother,1,1.0,0.0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,5,2.0,12.0,12.0,11.0,student-mat-dirty.csv
gp,m,15.0,u,GT3,T,4,2,health,services,other,mother,1,1.0,0.0,no,no,yes,no,yes,yes,yes,no,2,2,4,2,4,1,4.0,15.0,16.0,15.0,student-mat-dirty.csv
gp,m,16.0,u,LE3,A,3,4,services,other,home,mother,1,2.0,0.0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4.0,11.0,11.0,11.0,student-mat-dirty.csv
gp,m,16.0,u,GT3,T,4,4,teacher,other,home,mother,1,2.0,0.0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16.0,10.0,12.0,11.0,student-mat-dirty.csv
gp,m,15.0,u,GT3,T,4,4,health,services,home,mother,1,2.0,0.0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0.0,9.0,11.0,12.0,student-mat-dirty.csv
gp,m,15.0,u,GT3,T,4,4,services,services,reputation,mother,2,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0.0,17.0,16.0,17.0,student-mat-dirty.csv
gp,m,15.0,r,GT3,T,4,3,teacher,at_home,course,mother,1,2.0,0.0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0.0,17.0,16.0,16.0,student-mat-dirty.csv
gp,m,15.0,u,LE3,T,3,3,other,other,course,mother,1,2.0,0.0,no,no,no,yes,no,nan,yes,no,5,3,2,1,1,2,0.0,8.0,10.0,12.0,student-mat-dirty.csv
gp,m,16.0,u,GT3,T,3,2,other,other,home,mother,1,1.0,0.0,no,yes,yes,no,no,yes,y,no,5,4,3,1,1,5,0.0,12.0,14.0,15.0,student-mat-dirty.csv
gp,f,15.0,u,GT3,T,2,3,other,other,other,mother,2,1.0,0.0,no,yes,no,yes,yes,yes,n,no,3,5,1,1,1,5,0.0,8.0,7.0,6.0,student-mat-dirty.csv
gabriel pereira,m,15.0,u,LE3,T,4,3,teacher,services,home,mother,1,3.0,0.0,no,yes,no,yes,yes,yes,nan,no,5,4,3,1,1,4,2.0,15.0,16.0,18.0,student-mat-dirty.csv
gp,m,16.0,r,GT3,A,4,4,other,teacher,reputation, mother ,2,3.0,0.0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,7.0,15.0,16.0,15.0,student-mat-dirty.csv
gp,f,15.0,r,GT3,T,3,4,services,health,course,mother,1,3.0,0.0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2.0,12.0,12.0,11.0,student-mat-dirty.csv
gp,f,15.0,r,GT3,T,2,2,at_home,other,reputation,mother,1,1.0,0.0,yes,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8.0,14.0,13.0,13.0,student-mat-dirty.csv
gp,f,16.0,u,LE3,T,2,2,other,other,home,mother,2,2.0,1.0,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,25.0,7.0,10.0,11.0,student-mat-dirty.csv
gp,m,15.0,u,LE3,T,4,4,teacher,other,home,other,1,1.0,0.0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8.0,12.0,12.0,12.0,student-mat-dirty.csv
gp,m,15.0,u,GT3,T,4,4,services,teacher,course,father,1,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,2.0,19.0,18.0,18.0,student-mat-dirty.csv
gp,m,15.0,u,GT3,T,2,2,services,other,course,father,1,1.0,0.0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0.0,8.0,8.0,11.0,student-mat-dirty.csv
gp,f,16.0,u,LE3,T,2,2,other,at_home,course,father,2,2.0,1.0,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14.0,10.0,10.0,9.0,student-mat-dirty.csv
gp,f,15.0,u,LE3,A,4,3,other,other,course,mother,1,2.0,0.0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8.0,8.0,8.0,6.0,student-mat-dirty.csv
gp,f,16.0,u,LE3,A,3,3,other,services,course,mother,1,2.0,0.0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,12.0,11.0,12.0,11.0,student-mat-dirty.csv
gp,m,16.0,u,GT3,T,4,3,health,services,reputation,mother,1,4.0,0.0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,4.0,19.0,19.0,20.0,student-mat-dirty.csv
gp,m,15.0,u,GT3,T,4,2,teacher,other,home,mother,1,2.0,0.0,no,yes,yes,no,yes,yes,no,no,4,3,3,2,2,5,2.0,15.0,15.0,14.0,student-mat-dirty.csv
gp,f,15.0,u,GT3,T,4,4,services,teacher,other,father,1,2.0,1.0,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2.0,7.0,7.0,7.0,student-mat-dirty.csv
gp,f,16.0,u,LE3,T,2,2,services,services,course,mother,3,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,4,2.0,12.0,13.0,13.0,student-mat-dirty.csv
gp,f,15.0,u,LE3,T,4,2,health,other,other,mom,1,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,5,2.0,11.0,13.0,13.0,student-mat-dirty.csv
nan,m,15.0,u,LE3,A,4,2,health,health,other,father,2,1.0,1.0,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,6.0,11.0,11.0,10.0,student-mat-dirty.csv
gp,f,15.0,u,GT3,T,4,4,services,services,course,mother,1,1.0,0.0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,0.0,8.0,10.0,11.0,student-mat-dirty.csv
gp,f,15.0,u,LE3,A,3,3,other,other,other,mother,1,1.0,0.0,no,no,yes,no,yes,yes,yes,no,5,3,4,4,4,1,6.0,10.0,13.0,13.0,student-mat-dirty.csv
gp,f,16.0,u,GT3,A,2,1,other,other,other,mother,1,2.0,0.0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,2,8.0,8.0,9.0,10.0,student-mat-dirty.csv
gp,f,15.0,u,GT3,A,4,3,services,services,course,mother,1,2.0,0.0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0.0,14.0,15.0,15.0,student-mat-dirty.csv
nan,m,15.0,u,GT3,T,4,4,teacher,health,reputation,mother,1,2.0,0.0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,4.0,14.0,15.0,15.0,student-mat-dirty.csv
gp,m,15.0,u,LE3,T,1,2,other,at_home,home,father,1,2.0,0.0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2.0,9.0,10.0,9.0,student-mat-dirty.csv
gp,f,16.0,u,GT3,T,4,2,services,other,course,mother,1,2.0,0.0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,5,2.0,15.0,16.0,16.0,student-mat-dirty.csv
gp,f,16.0,r,GT3,T,4,4,health,teacher,other,mother,1,2.0,0.0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,6.0,10.0,11.0,11.0,student-mat-dirty.csv
gp,f,16.0,u,GT3,T,1,1,services,services,course,father,4,1.0,0.0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,6.0,10.0,8.0,11.0,student-mat-dirty.csv
gp,f,16.0,u,LE3,T,1,2,other,services,reputation,father,1,2.0,0.0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,4.0,8.0,10.0,9.0,student-mat-dirty.csv
gp,f,16.0,u,GT3,T,4,3,teacher,health,home,mother,1,3.0,0.0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2.0,10.0,9.0,9.0,student-mat-dirty.csv
gp,f,15.0,u,LE3,T,4,3,services,services,reputation,father,1,2.0,0.0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0.0,10.0,10.0,10.0,student-mat-dirty.csv
gp,f,16.0,u,LE3,T,4,3,teacher,services,course,mother,3,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2.0,16.0,15.0,15.0,student-mat-dirty.csv
gp,m,15.0,u,GT3,A,4,4,other,services,reputation,mother,1,4.0,0.0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,4.0,13.0,13.0,12.0,student-mat-dirty.csv
gp,f,16.0,u,GT3,T,3,1,services,other,course,mom,1,4.0,0.0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,4.0,7.0,7.0,6.0,student-mat-dirty.csv
gp,f,15.0,r,LE3,T,2,2,health,services,reputation,mother,2,2.0,0.0,yes,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,2.0,8.0,9.0,8.0,student-mat-dirty.csv
gp,f,15.0,r,LE3,T,3,1,other,other,reputation,father,2,4.0,0.0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,12.0,16.0,16.0,16.0,student-mat-dirty.csv
gp,m,16.0,u,GT3,T,3,1,other,other,reputation,father,2,4.0,0.0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0.0,13.0,15.0,15.0,student-mat-dirty.csv
nan,m,15.0,urban,GT3,T,4,2,other,other,course,mother,1,4.0,0.0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0.0,10.0,10.0,10.0,student-mat-dirty.csv
gp,f,15.0,r,GT3,T,1,1,other,other,reputation,mother,1,2.0,2.0,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2.0,8.0,6.0,5.0,student-mat-dirty.csv
gp,m,16.0,u,GT3,T,3,1,other,other,reputation,mother,1,1.0,0.0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,2.0,12.0,12.0,14.0,student-mat-dirty.csv
gp,f,16.0,u,GT3,T,3,3,other,services,home,mother,1,2.0,0.0,yes,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54.0,11.0,12.0,11.0,student-mat-dirty.csv
gp,m,15.0,u,GT3,T,4,3,teacher,other,home,mother,1,2.0,0.0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6.0,9.0,9.0,10.0,student-mat-dirty.csv
gp,m,15.0,u,GT3,T,4,0,teacher,other,course,mother,2,4.0,0.0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,8.0,11.0,11.0,10.0,student-mat-dirty.csv
gp,f,16.0,u,GT3,T,2,2,other,other,reputation,mother,1,4.0,0.0,no,no,yes,no,yes,yes,yes,yes,5,2,3,1,3,3,0.0,11.0,11.0,11.0,student-mat-dirty.csv
gp,m,17.0,u,GT3,T,2,1,other,other,course,mother,2,1.0,3.0,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,2.0,8.0,8.0,10.0,student-mat-dirty.csv
gp,f,16.0,nan,GT3,T,3,4,at_home,other,course,mother,1,2.0,0.0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,12.0,5.0,5.0,5.0,student-mat-dirty.csv
gp,m,15.0,u,GT3,T,2,3,other,services,course,father,1,1.0,0.0,yes,yes,yes,yes,no,yes,y,yes,3,2,2,1,3,3,2.0,10.0,12.0,12.0,student-mat-dirty.csv
gp,m,15.0,nan,GT3,T,2,3,other,other,course,mother,1,3.0,0.0,yes,no,yes,no,no,yes,yes,no,5,3,2,1,2,5,4.0,11.0,10.0,11.0,student-mat-dirty.csv
gp,f,15.0,u,LE3,T,3,2,services,other,reputation,mother,1,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,5,10.0,7.0,6.0,6.0,student-mat-dirty.csv
gp,m,15.0,u,LE3,T,2,2,services,services,home,mother,2,2.0,0.0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,4.0,15.0,15.0,15.0,student-mat-dirty.csv
gp,f,15.0,u,GT3,T,1,1,other,other,home,father,1,2.0,0.0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2.0,9.0,10.0,10.0,student-mat-dirty.csv
gp,f,15.0,u,GT3,T,4,4,services,services,reputation,father,2,2.0,2.0,no,no,yes,no,yes,yes,yes,yes,4,4,4,2,3,5,6.0,7.0,9.0,8.0,student-mat-dirty.csv
gp,f,16.0,u,LE3,T,2,2,at_home,other,course,mother,1,2.0,0.0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,4.0,8.0,7.0,6.0,student-mat-dirty.csv
gp,f,15.0,u,GT3,T,4,2,other,other,reputation,mother,1,3.0,0.0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4.0,13.0,14.0,14.0,student-mat-dirty.csv
gp,m,16.0,u,GT3,T,2,2,services,other,reputation,father,2,2.0,1.0,no,no,yes,yes,no,yes,yes,no,4,4,2,1,1,3,12.0,11.0,10.0,10.0,student-mat-dirty.csv
gp,m,16.0,u,LE3,A,4,4,teacher,health,reputation,mother,1,2.0,0.0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,18.0,8.0,6.0,7.0,student-mat-dirty.csv
gp,f,16.0,u,GT3,T,3,3,other,other,home,mother,1,3.0,0.0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,3,4,0.0,7.0,7.0,8.0,student-mat-dirty.csv
gp,f,15.0,u,GT3,T,4,3,other,other,reputation,mother,1,1.0,0.0,no,no,yes,yes,yes,yes,yes,no,4,5,5,1,3,1,4.0,16.0,17.0,18.0,student-mat-dirty.csv
gp,f,16.0,u,LE3,T,3,1,other,other,home,father,1,2.0,0.0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,4.0,7.0,6.0,6.0,student-mat-dirty.csv
gp,f,16.0,urban,GT3,T,4,2,teacher,services,home,mother,2,2.0,0.0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,0.0,11.0,10.0,10.0,student-mat-dirty.csv
gp,m,15.0,u,LE3,T,2,2,services,health,reputation,mother,1,4.0,0.0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,6.0,11.0,13.0,14.0,student-mat-dirty.csv
gp,f,15.0,r,GT3,T,1,1,at_home,other,home,mother,2,4.0,1.0,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2.0,7.0,10.0,10.0,student-mat-dirty.csv
gp,m,16.0,r,GT3,T,4,3,services,other,reputation,mother,2,1.0,0.0,yes,yes,no,yes,no,yes,yes,no,3,3,3,1,1,4,2.0,11.0,15.0,15.0,student-mat-dirty.csv
gp,female,16.0,u,GT3,T,2,1,other,other,course,mother,1,2.0,0.0,no,yes,yes,no,yes,y,no,yes,4,3,5,1,1,5,2.0,8.0,9.0,10.0,student-mat-dirty.csv
gp,f,16.0,u,GT3,T,4,4,other,other,reputation,mother,1,1.0,0.0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,6.0,11.0,14.0,14.0,student-mat-dirty.csv
gp,f,16.0,u,GT3,T,4,3,other,at_home,course,mother,1,3.0,0.0,yes,yes,yes,no,yes,yes,yes,no,5,3,5,1,1,3,0.0,7.0,9.0,8.0,student-mat-dirty.csv
gp,m,16.0,u,GT3,T,4,4,services,services,other,mother,1,1.0,0.0,yes,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,14.0,7.0,7.0,5.0,student-mat-dirty.csv
gp,m,16.0,u,GT3,T,4,4,services,teacher,other,father,1,3.0,0.0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0.0,16.0,17.0,17.0,student-mat-dirty.csv
gp,m,15.0,u,GT3,T,4,4,services,other,course,mother,1,1.0,0.0,no,yes,no,yes,no,yes,yes,no,5,3,3,1,1,5,4.0,10.0,13.0,14.0,student-mat-dirty.csv
gp,f,15.0,u,GT3,T,3,2,services,other,home,mother,2,2.0,0.0,yes,yes,yes,no,yes,yes,yes,no,4,3,5,1,1,2,26.0,7.0,6.0,6.0,student-mat-dirty.csv
gp,m,15.0,u,GT3,A,3,4,services,other,course,mother,1,2.0,0.0,no,yes,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,0.0,16.0,18.0,18.0,student-mat-dirty.csv
gp,f,15.0,u,GT3,A,3,3,other,health,reputation,father,1,4.0,0.0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,10.0,10.0,11.0,11.0,student-mat-dirty.csv
gp,f,15.0,u,GT3,T,2,2,other,other,course,mother,1,4.0,0.0,yes,yes,yes,no,yes,yes,yes,no,5,1,2,1,1,3,8.0,7.0,8.0,8.0,student-mat-dirty.csv
gp,m,16.0,u,GT3,T,3,3,services,other,home,father,1,3.0,0.0,no,yes,no,yes,yes,yes,nan,no,5,3,3,1,1,5,2.0,16.0,18.0,18.0,student-mat-dirty.csv
gp,m,15.0,r,GT3,T,4,4,other,other,home,father,4,4.0,0.0,no,yes,yes,yes,yes,nan,yes,yes,1,3,5,3,5,1,6.0,10.0,13.0,13.0,student-mat-dirty.csv
gp,f,16.0,u,LE3,T,4,4,health,health,other,mother,1,3.0,0.0,no,yes,yes,yes,yes,yes,yes,yes,5,4,5,1,1,4,4.0,14.0,15.0,16.0,student-mat-dirty.csv
gp,m,15.0,nan,LE3,A,4,4,teacher,teacher,course,mother,1,1.0,0.0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,6.0,18.0,19.0,19.0,student-mat-dirty.csv
gp,f,16.0,r,GT3,T,3,3,services,other,reputation,father,1,3.0,1.0,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,0.0,7.0,10.0,10.0,student-mat-dirty.csv
gp,f,16.0,u,GT3,T,2,2,at_home,other,home,mother,1,2.0,1.0,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,6.0,10.0,13.0,13.0,student-mat-dirty.csv
gp,m,15.0,u,LE3,T,4,2,teacher,other,course,mother,1,1.0,0.0,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,3,10.0,18.0,19.0,19.0,student-mat-dirty.csv
nan,m,15.0,r,GT3,T,2,1,health,services,reputation,mother,1,2.0,0.0,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,8.0,9.0,9.0,9.0,student-mat-dirty.csv
gp,m,16.0,u,GT3,T,4,4,teacher,teacher,course,father,1,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,2,5,2.0,15.0,15.0,16.0,student-mat-dirty.csv
gp,m,15.0,u,GT3,T,4,4,other,teacher,reputation,father,2,2.0,0.0,no,yes,no,yes,yes,yes,no,no,4,4,3,1,1,2,2.0,11.0,13.0,14.0,student-mat-dirty.csv
gabriel pereira,m,16.0,u,GT3,T,3,3,other,services,home,father,2,1.0,0.0,no,no,no,yes,yes,yes,yes,no,5,4,2,1,1,5,0.0,13.0,14.0,13.0,student-mat-dirty.csv
gp,m,17.0,r,GT3,T,1,3,other,other,course,father,3,2.0,1.0,no,yes,no,yes,yes,yes,yes,no,5,2,4,1,4,5,20.0,9.0,7.0,8.0,student-mat-dirty.csv
gp,m,15.0,u,GT3,T,3,4,other,other,reputation,father,1,1.0,0.0,no,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,6.0,14.0,13.0,13.0,student-mat-dirty.csv
gp,f,15.0,u,GT3,T,1,2,at_home,services,course,mother,1,2.0,0.0,no,no,no,no,no,yes,yes,no,3,2,3,1,2,1,2.0,16.0,15.0,15.0,student-mat-dirty.csv
gp,m,15.0,u,GT3,T,2,2,services,services,home,father,1,4.0,0.0,no,yes,yes,yes,yes,yes,yes,no,5,5,4,1,2,5,6.0,16.0,14.0,15.0,student-mat-dirty.csv
gp,f,16.0,u,LE3,T,2,4,other,other,course,Father,2,2.0,0.0,no,yes,yes,yes,yes,yes,yes,yes,4,2,2,1,2,5,2.0,13.0,13.0,13.0,student-mat-dirty.csv
gp,m,16.0,u,GT3,T,4,4,health,other,course,mother,1,1.0,0.0,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,5,18.0,14.0,11.0,13.0,student-mat-dirty.csv
gp,f,16.0,u,GT3,T,2,2,other,other,home,mother,1,2.0,1.0,no,no,yes,no,yes,yes,yes,yes,5,4,4,1,1,5,0.0,8.0,7.0,8.0,student-mat-dirty.csv
nan,m,15.0,u,GT3,T,3,4,services,services,home,father,1,1.0,0.0,yes,no,no,no,yes,yes,yes,no,5,5,5,3,2,5,0.0,13.0,13.0,12.0,student-mat-dirty.csv
gp,f,15.0,u,LE3,A,3,4,other,other,home,mother,1,2.0,0.0,yes,no,no,yes,yes,yes,y,yes,5,3,2,1,1,1,0.0,7.0,10.0,11.0,student-mat-dirty.csv
gp,f,19.0,u,GT3,T,0,1,at_home,other,course,other,1,2.0,3.0,no,yes,no,no,no,no,no,no,3,4,2,1,1,5,2.0,7.0,8.0,9.0,student-mat-dirty.csv
gp,m,18.0,r,GT3,T,2,2,services,other,reputation,mother,1,1.0,2.0,no,yes,no,yes,yes,yes,yes,no,3,3,3,1,2,4,0.0,7.0,4.0,0.0,student-mat-dirty.csv
gp,m,16.0,r,GT3,T,4,4,teacher,teacher,course,mother,1,1.0,0.0,no,no,yes,yes,yes,yes,yes,no,3,5,5,2,5,4,8.0,18.0,18.0,18.0,student-mat-dirty.csv
gp,f,15.0,r,GT3,T,3,4,services,teacher,course,father,2,3.0,2.0,no,yes,no,no,yes,yes,yes,yes,4,2,2,2,2,5,0.0,12.0,0.0,0.0,student-mat-dirty.csv
gp,f,15.0,u,GT3,T,1,1,at_home,other,course,mother,3,1.0,0.0,no,yes,no,yes,no,yes,yes,yes,4,3,3,1,2,4,0.0,8.0,0.0,0.0,student-mat-dirty.csv
gp,f,17.0,u,LE3,T,2,2,other,other,course,father,1,1.0,0.0,no,yes,no,no,yes,yes,yes,yes,3,4,4,1,3,5,12.0,10.0,13.0,12.0,student-mat-dirty.csv
gp,f,16.0,u,GT3,A,3,4,services,other,course,father,1,1.0,0.0,no,no,no,no,yes,yes,yes,no,3,2,1,1,4,5,16.0,12.0,11.0,11.0,student-mat-dirty.csv
